fatigue_route_id,method_revision,kd_route_id,stress_basis,seq_route,mean_stress_route,fatigue_curve_id,interpolation_rule,extrapolation_allowed,applicability,source_id,qualification_state
ROUTE-KD3-2024,1.0.0,KD3-FATIGUE-001,TRESCA_STRESS_INTENSITY,KD320_MEAN_STRESS_CORRECTION,ALGEBRAIC_MEAN_STRESS,VIII3-KD3-CS-001,LOG_LOG,FALSE,STRAIGHT_PIPE_REMOTE_FROM_DISCONTINUITY,SRC-VIII3-2025,APPROVED
ROUTE-KD3-2022,1.0.0,KD3-FATIGUE-001,TRESCA_STRESS_INTENSITY,KD320_MEAN_STRESS_CORRECTION,ALGEBRAIC_MEAN_STRESS,VIII3-KD3-CS-001,LOG_LOG,FALSE,STRAIGHT_PIPE_REMOTE_FROM_DISCONTINUITY,SRC-VIII3-2023,APPROVED
ROUTE-KD3-SS-2024,1.0.0,KD3-FATIGUE-001,TRESCA_STRESS_INTENSITY,KD320_MEAN_STRESS_CORRECTION,ALGEBRAIC_MEAN_STRESS,VIII3-KD3-SS-001,LOG_LOG,FALSE,STRAIGHT_PIPE_REMOTE_FROM_DISCONTINUITY,SRC-VIII3-2025,APPROVED
ROUTE-KD3-SYNTH,1.0.0,KD3-SYNTH-001,TRESCA_STRESS_INTENSITY,DIRECT_SALT_EQUAL_SEQ,NONE,TEST-SYNTH-CURVE-001,LOG_LOG,FALSE,SYNTHETIC_BENCHMARK_VERIFICATION,SRC-TEST-SYNTH,APPROVED
