fatigue_curve_id,standard,edition,material_scope,temp_min_c,temp_max_c,environment_scope,mean_stress_embedded,source_id,source_locator,license_class,qualification_state
TEST-SYNTH-CURVE-001,INTERNAL_BENCHMARK,2026,TEST-MAT,-50.0,350.0,AIR_NON_CORROSIVE,FALSE,SRC-TEST-SYNTH,Benchmark Class D Specification,PUBLIC_DOMAIN,APPROVED
VIII3-KD3-CS-001,ASME BPVC Section VIII Div 3,2025,CARBON_AND_LOW_ALLOY_STEEL,-29.0,371.0,AIR_NON_CORROSIVE,FALSE,SRC-VIII3-2025,Figure KD-320.1 & Table KD-320.1,LICENSED_RESTRICTED,APPROVED
VIII3-KD3-SS-001,ASME BPVC Section VIII Div 3,2025,AUSTENITIC_STAINLESS_STEEL,-196.0,427.0,AIR_NON_CORROSIVE,FALSE,SRC-VIII3-2025,Figure KD-320.2 & Table KD-320.2,LICENSED_RESTRICTED,APPROVED
VIII3-KD3-NICKEL-001,ASME BPVC Section VIII Div 3,2025,NICKEL_BASE_ALLOYS,-196.0,427.0,AIR_NON_CORROSIVE,FALSE,SRC-VIII3-2025,Figure KD-320.3 & Table KD-320.3,LICENSED_RESTRICTED,APPROVED
